id;JANUARI;27.2;32.2;24.3;24;48.1;1009.4;86.7;2.7;2014
;FEBRUARI;27.1;32;24.3;18;66.7;1010.1;83.4;11.6;2014
;MARET;27.2;31.9;23.9;22;58;1011.4;81.8;3.6;2014
;APRIL;27.4;32.3;24.4;25;60.1;1010.3;85.3;2.5;2014
;MEI;27.7;32.4;24.5;17;64.2;1011.4;84;2.1;2014
;JUNI;27.7;32.3;24.7;17;55.4;1010.2;83.5;2;2014
;JULI;27.4;32;23.9;14;60.8;1010.6;83.1;2.5;2014
;AGUSTUS;27.1;31.5;24;23;58.9;1011.7;85.3;2.4;2014
;SEPTEMBER;27.2;31.7;24.1;19;54.3;1011.3;83.9;2.4;2014
;OKTOBER;28;32.5;24.5;12;70.2;1010.9;80.8;2.5;2014
;NOVEMBER;27.7;32.3;24.5;23;53.8;1010.5;82.4;2.8;2014
;DESEMBER;27.2;31.7;24.7;21;35.2;1009.8;86.7;2.4;2014
;JANUARI;27.4;32;24.6;22;42.9;1010.5;82.1;3.6;2015
;FEBRUARI;26.6;31.2;24.1;23;43.8;1011.2;82.8;4.5;2015
;MARET;26.8;31.3;24.3;23;53.2;1012.1;82.9;4.2;2015
;APRIL;26.9;31.5;24.4;23;57.6;1011;86.8;2.9;2015
;MEI;27.2;32.1;23.9;23;66.4;1011.4;83.2;2.4;2015
;JUNI;27.2;31;24.5;15;58;1010.5;85.6;2.3;2015
;JULI;27.1;31;22.9;11;69;1011.9;83.8;2.4;2015
;AGUSTUS;27.7;31.7;23.7;14;75.9;1011.6;81.6;2.7;2015
;SEPTEMBER;28;31.9;25;10;84.3;1011.9;81.6;2.4;2015
;OKTOBER;26.7;30.1;22.9;0;85.2;1012.5;80.6;2.4;2015
;NOVEMBER;28;31.6;25.1;17;55.1;1010.8;82.8;2.7;2015
;DESEMBER;27.7;31.6;24.9;27;44.5;1011.2;85.6;3.6;2015
;JANUARI;27.4;31.2;24.8;25;40.6;1012.9;85;3.7;2016
;FEBRUARI;27.2;31.1;24.7;23;45.4;1012.3;85.9;4.1;2016
;MARET;27.3;31.2;25.1;28;41;1012.5;86.6;4;2016
;APRIL;27.6;31.6;25;23;54.8;1011.3;85.6;3.6;2016
;MEI;28.2;32;25.4;16;63.4;1010.9;84;2.3;2016
;JUNI;27.8;31.4;25.1;21;51;1011.2;84.3;2.3;2016
;JULI;27;31.2;23.8;6;54.7;1010.9;83.1;2.6;2016
;AGUSTUS;27.9;31.8;25.1;15;63.5;1010.1;83.2;3;2016
;SEPTEMBER;27.9;31.5;24.9;19;55.2;1011.1;83;2.5;2016
;OKTOBER;27.9;31.3;25;19;47.9;1010.5;83.8;2.5;2016
;NOVEMBER;27.7;31.7;25;20;41.7;1009.6;84.5;2.3;2016
;DESEMBER;27.4;31.5;24.9;24;35.9;1009.2;85;2.9;2016
;JANUARI;27.5;30.7;24.7;19;48;1009.6;84.3;2.8;2017
;FEBRUARI;26.9;31.6;24.8;23;51.5;1010.5;84.6;3.1;2017
;MARET;26.7;31;24.4;22;51.1;1010.9;82.5;3;2017
;APRIL;27;31.3;24.8;25;41.4;1010.7;85.8;2.9;2017
;MEI;27.8;31.9;25.1;20;52.1;1010.6;84.9;2;2017
;JUNI;27.4;31.1;24.4;23;43.5;1011.1;85.4;1.9;2017
;JULI;27;31.2;24.6;21;42.1;1011;84.3;2.3;2017
;AGUSTUS;27.3;30.9;24.6;21;58.1;1010.9;83.6;2.3;2017
;SEPTEMBER;27.6;31.6;24.8;18;62.6;1011.5;81.8;2.2;2017
;OKTOBER;28.1;32;24.9;14;62.6;1009.6;80.8;2.5;2017
;NOVEMBER;27.5;30.3;25;19;41.7;1008.5;84.7;2.2;2017
;DESEMBER;27.6;30.7;25.1;24;42.8;1008.8;85;2;2017
;JANUARI;27.7;31.9;25;20;49;1008.4;80.8;3;2018
;FEBRUARI;27;31.3;24.8;23;42.4;1010.3;84.2;2.7;2018
;MARET;27.4;31.5;24.8;24;48.1;1008.9;83.5;3.1;2018
;APRIL;27.5;31.4;25;19;50;1009.7;84.3;2.1;2018
;MEI;27.5;31.3;24.9;16;66;1010.2;83.6;2.3;2018
;JUNI;27.1;30.7;24.9;17;48.5;1011;83.6;2.6;2018
;JULI;27.9;30.1;25;16;53.3;1009.8;81.1;3;2018
;AGUSTUS;27.3;30.9;24.7;18;56.1;1010.7;81.1;2.5;2018
;SEPTEMBER;27.6;31.4;24.8;14;67.7;1010.6;81.5;2.6;2018
;OKTOBER;27.3;30.9;24.4;18;55.2;1011.2;82.8;2.4;2018
;NOVEMBER;27.6;31.4;25.1;23;43.3;1010.6;83.4;2.3;2018
;DESEMBER;27.5;31.5;25.2;25;42.2;1010.5;85.6;2.6;2018
